,src,dst,relationship,weight
313,713229829,11255231,call,22
314,713229829,11255231,call,14
315,11282766,11255231,call,19
316,11282766,11255231,call,282
317,879711562,11255231,call,72
318,879711562,11255231,call,141
319,11255559,11255231,call,198
320,11255559,11255231,call,163
321,531526145,125373608,call,101
322,11255216,125373608,call,41
323,11255216,125373608,call,254
324,11283264,125373608,call,143
325,11283264,125373608,call,346
326,137753751,125373608,call,22
327,137753751,125373608,call,235
328,1022648568,125373608,call,249
329,1022648568,125373608,call,407
330,713229829,125373608,call,820
331,713229829,125373608,call,805
332,11282766,125373608,call,5557
333,11282766,125373608,call,2880
334,137599961,125373608,call,184
335,137599961,125373608,call,368
336,531526145,1022648568,call,499
337,531526145,1022648568,call,567
338,11283264,1022648568,call,2611
339,11283264,1022648568,call,3092
340,748408215,1022648568,call,1705
341,748408215,1022648568,call,3707
342,137753751,1022648568,call,2037
343,137753751,1022648568,call,1616
344,137671151,1022648568,call,210
345,713229829,1022648568,call,656
346,713229829,1022648568,call,237
347,11255559,1022648568,call,3804
348,11255559,1022648568,call,4475
349,11283138,260029920,call,157
350,11255674,260029920,call,468
351,11255674,260029920,call,680
352,11282766,260029920,call,239
353,11282766,260029920,call,180
354,902414532,109666619,call,1465
355,902414532,109666619,call,119
356,11283138,109666619,call,156
357,531526145,109666619,call,186
358,11283264,109666619,call,86
359,137753751,109666619,call,145
360,137753751,109666619,call,74
361,11282849,109666619,call,532
362,11282849,109666619,call,99
363,11282541,109666619,call,50
364,11255674,109666619,call,47
365,1022648568,109666619,call,51
366,713229829,109666619,call,76
367,11282766,109666619,call,13
368,137599961,109666619,call,141
369,137599961,109666619,call,138
370,879711562,109666619,call,2469
371,879711562,109666619,call,416
372,11255559,109666619,call,191
373,11254526,11255506,call,14129
374,11254526,11255506,call,15549
375,311719264,11255506,call,1542
376,311719264,11255506,call,112
377,11283138,11255506,call,163
378,11283138,11255506,call,23
379,11255216,11255506,call,27329
380,11255216,11255506,call,19525
381,11283264,11255506,call,196
382,11283264,11255506,call,770
383,748408215,11255506,call,215
384,137753751,11255506,call,72
385,137753751,11255506,call,105
386,11282541,11255506,call,477
387,1022648568,11255506,call,711
388,1022648568,11255506,call,1082
389,11282273,11255506,call,325
390,137671151,11255506,call,108
391,713229829,11255506,call,44
392,713229829,11255506,call,74
393,11282766,11255506,call,1543
394,11282766,11255506,call,83
395,137599961,11255506,call,21
396,11283832,11255506,call,148
397,11283832,11255506,call,146
398,11255559,11255506,call,9542
399,11255559,11255506,call,9809
400,668521861,11255506,call,389
401,668521861,11255506,call,494
402,902414532,137671151,call,321
403,11283138,137671151,call,135
404,137753751,137671151,call,5552
405,137753751,137671151,call,1839
406,11283738,137671151,call,23
407,1022648568,137671151,call,210
408,713229829,137671151,call,58
409,902414532,129182914,call,375
410,902414532,129182914,call,399
411,11254526,129182914,call,176
412,11254526,129182914,call,81
413,11255216,129182914,call,164
414,11255216,129182914,call,31
415,1126297890,129182914,call,39
416,713229829,129182914,call,224
417,713229829,129182914,call,21
418,11254171,129182914,call,101
419,11283138,11282541,call,1262
420,11283264,11282541,call,741
421,137753751,11282541,call,353
422,1126297890,11282541,call,193
423,11282849,11282541,call,2315
424,11282849,11282541,call,255
425,11282273,11282541,call,741
426,902414532,137599961,call,308
427,902414532,137599961,call,850
428,11282843,137599961,call,23
429,531526145,137599961,call,103
430,11255216,137599961,call,62
431,11255216,137599961,call,15
432,11282849,137599961,call,190
433,11282766,137599961,call,66
434,11282766,137599961,call,78
435,879711562,137599961,call,1521
436,879711562,137599961,call,947
437,845248807,137599961,call,90
438,1019482902,1019483738,call,2394
439,1019482902,1019483738,call,1212
440,902414532,1198640580,call,196
441,11254526,1198640580,call,14
442,11254526,1198640580,call,200
443,311719264,1198640580,call,500
444,11255216,1198640580,call,139
445,11255216,1198640580,call,590
446,1022648568,1198640580,call,83
447,1022648568,1198640580,call,15
448,11282273,1198640580,call,940
449,713229829,1198640580,call,777
450,11282766,1198640580,call,193
451,11282766,1198640580,call,93
452,879711562,1198640580,call,1168
453,879711562,1198640580,call,115
454,11254171,1198640580,call,443
455,11254526,845248807,call,354
456,11254526,845248807,call,18
457,713229829,845248807,call,25
458,137599961,845248807,call,90
459,845248807,845248807,call,6
460,1126297890,1019482902,call,99
461,11283264,11283216,call,1315
462,11283264,11283216,call,949
463,137753751,11283216,call,28
464,1126297890,11283216,call,276
465,1126297890,11283216,call,352
466,11282849,11283216,call,1329
467,11282849,11283216,call,94
468,11282541,11283216,call,4026
469,11282541,11283216,call,4033
470,11282843,1072703160,call,2106
471,11282843,1072703160,call,1144
472,11283738,1072703160,call,2384
473,11283738,1072703160,call,2426
474,11283138,916965905,call,67
475,879711562,916965905,call,426
476,273508404,916965905,call,137
477,273508404,916965905,call,26
478,11255674,11254663,call,24
479,11255674,11254663,call,105
480,11282766,11254663,call,87
481,902414532,11254856,call,226
482,902414532,11254856,call,739
483,11254526,11254856,call,912
484,11254526,11254856,call,1057
485,11283138,11254856,call,121
486,11283138,11254856,call,111
487,11282843,11254856,call,117
488,11282843,11254856,call,158
489,531526145,11254856,call,89
490,11255216,11254856,call,1240
491,11255216,11254856,call,787
492,11283264,11254856,call,119
493,11283264,11254856,call,76
494,748408215,11254856,call,388
495,748408215,11254856,call,641
496,137753751,11254856,call,35
497,1126297890,11254856,call,31
498,1022648568,11254856,call,44
499,713229829,11254856,call,161
500,713229829,11254856,call,349
501,11282766,11254856,call,183
502,137599961,11254856,call,49
503,879711562,11254856,call,43
504,879711562,11254856,call,30
505,1019482902,13846700,call,432
506,1019482902,13846700,call,113
507,902414532,11282766,call,319
508,11255216,11282766,call,129
509,11255216,11282766,call,582
510,11282849,11282766,call,53
511,11282849,11282766,call,49
512,713229829,11282766,call,458
513,713229829,11282766,call,788
514,137599961,11282766,call,78
515,137599961,11282766,call,67
516,11255559,11282766,call,92
517,11255559,11282766,call,23
518,668521861,11282766,call,263
519,137753751,998134451,call,78
520,11255674,998134451,call,65
521,11255674,998134451,call,55
522,11255559,998134451,call,19
523,11254526,11283043,call,124
524,531526145,11283043,call,105
525,1126297890,11283043,call,58
526,1126297890,11283043,call,323
527,11255674,11283043,call,311
528,11255674,11283043,call,119
529,902414532,137599967,call,153
530,902414532,137599967,call,346
531,311719264,137599967,call,875
532,311719264,137599967,call,400
533,11283138,137599967,call,59
534,11255216,137599967,call,218
535,11255216,137599967,call,2665
536,748408215,137599967,call,19
537,748408215,137599967,call,306
538,137753751,137599967,call,35
539,137753751,137599967,call,189
540,11255674,137599967,call,209
541,137671151,137599967,call,46
542,137671151,137599967,call,431
543,11282766,137599967,call,186
544,137599961,137599967,call,377
545,273508404,137599967,call,160
546,11255559,137599967,call,51
547,11255559,137599967,call,1282
548,902414532,311719264,call,302
549,902414532,311719264,call,972
550,11254526,311719264,call,819
551,11254526,311719264,call,8078
552,11255216,311719264,call,9288
553,11255216,311719264,call,27320
554,11282273,311719264,call,544
555,11282273,311719264,call,326
556,879711562,311719264,call,6684
557,879711562,311719264,call,3900
558,11255559,311719264,call,649
559,902414532,11255216,call,614
560,902414532,11255216,call,66
561,11254526,11255216,call,981
562,11254526,11255216,call,2115
563,311719264,11255216,call,27326
564,311719264,11255216,call,9289
565,137753751,11255216,call,20
566,11255674,11255216,call,316
567,11282273,11255216,call,57
568,950196627,11255216,call,302
569,950196627,11255216,call,281
570,713229829,11255216,call,79
571,713229829,11255216,call,56
572,11282766,11255216,call,582
573,11282766,11255216,call,128
574,137599961,11255216,call,15
575,137599961,11255216,call,62
576,879711562,11255216,call,195
577,879711562,11255216,call,875
578,11255559,11255216,call,852
579,11255559,11255216,call,3267
580,668521861,11255216,call,30
581,668521861,11255216,call,71
582,902414532,137753751,call,216
583,11283138,137753751,call,945
584,11283138,137753751,call,1154
585,11255216,137753751,call,20
586,11283264,137753751,call,1336
587,11283264,137753751,call,5636
588,748408215,137753751,call,95
589,748408215,137753751,call,443
590,11282541,137753751,call,355
591,1022648568,137753751,call,1624
592,1022648568,137753751,call,2044
593,137671151,137753751,call,1848
594,137671151,137753751,call,5573
595,713229829,137753751,call,102
596,713229829,137753751,call,9
597,11255559,137753751,call,826
598,11255559,137753751,call,89
599,11254526,950196627,call,148
600,11254526,950196627,call,34
601,11283138,950196627,call,112
602,11283138,950196627,call,468
603,11255216,950196627,call,283
604,11255216,950196627,call,301
605,11254526,713229829,call,464
606,11254526,713229829,call,102
607,11255216,713229829,call,56
608,11255216,713229829,call,79
609,748408215,713229829,call,78
610,748408215,713229829,call,1386
611,137753751,713229829,call,9
612,137753751,713229829,call,102
613,1126297890,713229829,call,106
614,1126297890,713229829,call,189
615,1022648568,713229829,call,240
616,1022648568,713229829,call,628
617,11282273,713229829,call,144
618,137671151,713229829,call,59
619,11282766,713229829,call,790
620,11282766,713229829,call,458
621,879711562,713229829,call,39
622,845248807,713229829,call,25
623,11255559,713229829,call,764
624,11255216,11283740,call,71
625,11255674,11283740,call,769
626,11255674,11283740,call,473
627,879711562,11283740,call,31
628,273508404,11283740,call,191
629,11255559,11283740,call,83
630,11255559,11283740,call,34
631,1126297890,11282849,call,199
632,11282541,11282849,call,256
633,11282541,11282849,call,2316
634,11282766,11282849,call,48
635,11282766,11282849,call,54
636,137599961,11282849,call,190
637,11255559,11282849,call,63
638,11254526,1003024296,call,15052
639,11254526,1003024296,call,15020
640,311719264,1003024296,call,1309
641,311719264,1003024296,call,477
642,531526145,1003024296,call,164
643,531526145,1003024296,call,48
644,11255216,1003024296,call,3566
645,11255216,1003024296,call,9037
646,11255674,1003024296,call,78
647,11282766,1003024296,call,478
648,11282766,1003024296,call,48
649,879711562,1003024296,call,5986
650,879711562,1003024296,call,8698
651,1019482902,1003024296,call,7931
652,1019482902,1003024296,call,2355
653,11283832,1003024296,call,168
654,11283832,1003024296,call,1376
655,11255559,1003024296,call,77
656,11255559,1003024296,call,1686
657,668521861,1003024296,call,233
658,311719264,11282273,call,327
659,311719264,11282273,call,544
660,11255216,11282273,call,57
661,11282541,11282273,call,738
662,713229829,11282273,call,142
663,879711562,11282273,call,1033
664,879711562,11282273,call,666
665,273508404,11282273,call,125
666,273508404,11282273,call,308
667,11255559,11282273,call,777
668,668521861,11282273,call,6245
669,668521861,11282273,call,4642
670,11283138,11255674,call,89
671,11255216,11255674,call,316
672,11282843,11283738,call,32
673,11282843,11283738,call,23
674,137671151,11283738,call,23
675,11283832,11283738,call,255
676,11283832,11283738,call,38
677,11254171,11283738,call,159
678,11254526,11282782,call,36
679,11283138,11282782,call,67
680,11283138,11282782,call,5
681,11282843,11282782,call,308
682,11255216,11282782,call,435
683,11283264,11282782,call,1031
684,11283264,11282782,call,4697
685,137753751,11282782,call,121
686,137753751,11282782,call,665
687,11283738,11282782,call,500
688,11283738,11282782,call,598
689,11282849,11282782,call,74
690,11282541,11282782,call,1740
691,1022648568,11282782,call,54
692,1022648568,11282782,call,455
693,11282273,11282782,call,907
694,137671151,11282782,call,202
695,879711562,11282782,call,35
696,11255559,11282782,call,782
697,11255559,11282782,call,284
698,1019482902,830901978,call,310
699,1019482902,830901978,call,177
700,1019482902,134184427,call,1824
701,1019482902,134184427,call,429
702,11255674,263773497,call,38
703,11255674,263773497,call,202
704,11283138,11254171,call,43
705,11283738,11254171,call,157
706,902414532,11282227,call,455
707,902414532,11282227,call,779
708,11283138,11282227,call,90
709,11282843,11282227,call,42
710,11282843,11282227,call,116
711,137671151,11282227,call,106
712,916965905,11282227,call,916
713,273508404,11282227,call,253
714,273508404,11282227,call,480
715,11283832,11282227,call,187
716,11283832,11282227,call,235
717,902414532,11255559,call,42
718,311719264,11255559,call,649
719,11283138,11255559,call,66
720,11255216,11255559,call,3273
721,11255216,11255559,call,853
722,11283264,11255559,call,17
723,11283264,11255559,call,273
724,137753751,11255559,call,88
725,137753751,11255559,call,823
726,11282849,11255559,call,63
727,1022648568,11255559,call,4473
728,1022648568,11255559,call,3805
729,11282273,11255559,call,777
730,713229829,11255559,call,763
731,11282766,11255559,call,22
732,11282766,11255559,call,92
733,879711562,11255559,call,6948
734,879711562,11255559,call,1169
735,11283832,11255559,call,15
736,668521861,11255559,call,335
737,531526145,748408215,call,373
738,531526145,748408215,call,635
739,137753751,748408215,call,440
740,137753751,748408215,call,94
741,1022648568,748408215,call,3707
742,1022648568,748408215,call,1708
743,713229829,748408215,call,1384
744,713229829,748408215,call,78
745,1019482902,989202348,call,4131
746,1019482902,989202348,call,146
747,311719264,1094118539,call,571
748,311719264,1094118539,call,126
749,11255216,1094118539,call,171
750,11255674,1094118539,call,563
751,11255674,1094118539,call,1578
752,11282766,1094118539,call,170
753,11254526,1003020747,call,978
754,11254526,1003020747,call,221
755,311719264,1003020747,call,6213
756,311719264,1003020747,call,2033
757,11282849,1003020747,call,1191
758,137599961,1003020747,call,188
759,879711562,1003020747,call,2378
760,879711562,1003020747,call,450
761,273508404,1003020747,call,1033
762,273508404,1003020747,call,526
763,11255559,1003020747,call,5703
764,11255559,1003020747,call,3536
